stop_id,stop_name,stop_town,stop_lon,stop_lat,location_type,parent_station,wheelchair_boarding,platform_code
42210071,Groene Kruis,Dinxperlo,3.31356,47.974766,0,,1,
42210080,Groene Kruis,Dinxperlo,3.31356,47.974766,0,,1,
42210081,Groene Kruis,Dinxperlo,3.31356,47.974766,0,,1,
42210091,Willem van Oranjeplein,Dinxperlo,3.31356,47.974766,0,sa_DxpWil,1,
42210092,Willem van Oranjeplein,Dinxperlo,3.31356,47.974766,0,sa_DxpWil,1,
42210290,De Prins,Breedenbroek,3.31356,47.974766,0,,0,
42210300,De Prins,Breedenbroek,3.31356,47.974766,0,,0,
42211310,De Kroeze,Breedenbroek,3.31356,47.974766,0,,0,
42211320,De Kroeze,Breedenbroek,3.31356,47.974766,0,,0,
42213010,Bohnenweide,Breedenbroek,3.31356,47.974766,0,,0,
42213020,Bohnenweide,Breedenbroek,3.31356,47.974766,0,,0,
42213110,Kerk,De Heurne,3.31356,47.974766,0,sa_DHeKer,0,
42213120,Kerk,De Heurne,3.31356,47.974766,0,sa_DHeKer,0,
42213160,Bruggink,De Heurne,3.31356,47.974766,0,sa_DHeBru,0,
42213170,Bruggink,De Heurne,3.31356,47.974766,0,sa_DHeBru,0,
42220017,Centrum,Aalten,3.31356,47.974766,0,,0,
42220018,Centrum,Aalten,3.31356,47.974766,0,,0,
42220019,Zonneheuvel,Aalten,3.31356,47.974766,0,,0,
42220020,Zonneheuvel,Aalten,3.31356,47.974766,0,,0,
42220021,'t Walfort,Aalten,3.31356,47.974766,0,,0,
42220022,'t Walfort,Aalten,3.31356,47.974766,0,,0,
42220023,Tramstraat,Bredevoort,3.31356,47.974766,0,sa_BdvTra,0,
42220024,Tramstraat,Bredevoort,3.31356,47.974766,0,sa_BdvTra,0,
42220110,De Pol,Aalten,3.31356,47.974766,0,sa_AtnDPo,0,
42220120,De Pol,Aalten,3.31356,47.974766,0,sa_AtnDPo,0,
42220130,Ludgerstraat,Aalten,3.31356,47.974766,0,,0,
42220140,Ludgerstraat,Aalten,3.31356,47.974766,0,,0,
42220150,Station,Aalten,3.31356,47.974766,0,sa_AtnSta,1,
42220160,Station,Aalten,3.31356,47.974766,0,sa_AtnSta,1,
42220170,Admiraal de Ruyterstraat,Aalten,3.31356,47.974766,0,sa_AtnAdm,0,
42220180,Admiraal de Ruyterstraat,Aalten,3.31356,47.974766,0,sa_AtnAdm,0,
42220290,Dijkstraat,Aalten,3.31356,47.974766,0,,0,
42340010,"Barlo, Domme Aanleg",Aalten,3.31356,47.974766,0,sa_BrlDom,0,
42340020,"Barlo, Domme Aanleg",Aalten,3.31356,47.974766,0,sa_BrlDom,0,
42340030,"Barlo, AZC Groot Deunk",Aalten,3.31356,47.974766,0,sa_BrlAZC,0,
42340040,"Barlo, AZC Groot Deunk",Aalten,3.31356,47.974766,0,sa_BrlAZC,0,
42400010,Kwekerij Gelria,Winterswijk,3.31356,47.974766,0,,0,
42400090,De Harmonie,Winterswijk,3.31356,47.974766,0,,1,
42400100,De Harmonie,Winterswijk,3.31356,47.974766,0,,1,
42400110,De Peperbus,Winterswijk,3.31356,47.974766,0,,1,
42400120,De Peperbus,Winterswijk,3.31356,47.974766,0,,1,
42400130,Ziekenhuis,Winterswijk,3.31356,47.974766,0,,0,
